item,path,database_table,metadata_differences
Smoking Sword,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\smoking-sword.md,Specific_Magic_Weapons,"source: vault='beginnerbox', db='beginnerboxgamemastersguide'; traits: vault='fire, magical, versatile-p', db='Evocation, Fire, Magical'"
Smother Shroud,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\smother-shroud.md,Alchemical_Items,
Smuggler's Sack (Type I),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\smugglers-sack-(type-i).md,Held_Items,"traits: vault='extradimensional, magical', db='Conjuration, Extradimensional, Magical, Uncommon'"
Smuggler's Sack (Type II),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\smugglers-sack-(type-ii).md,Held_Items,"traits: vault='extradimensional, magical', db='Conjuration, Extradimensional, Magical, Uncommon'"
Smuggler's Sack (Type III),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\smugglers-sack-(type-iii).md,Held_Items,"traits: vault='extradimensional, magical', db='Conjuration, Extradimensional, Magical, Uncommon'"
Smuggler's Sack (Type IV),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\smugglers-sack-(type-iv).md,Held_Items,"traits: vault='extradimensional, magical', db='Conjuration, Extradimensional, Magical, Uncommon'"
Smuggler's Sack (Type V),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\smugglers-sack-(type-v).md,Held_Items,"traits: vault='extradimensional, magical', db='Conjuration, Extradimensional, Magical, Uncommon'"
Snagging Hook Snare,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\snagging-hook-snare.md,Snares,
Snagging,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Snagging.md,Runes,
Snake Oil,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\snake-oil.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'"
Snapleaf,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Snapleaf.md,Consumables,
Snare Kit,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Snare Kit.md,Mundane,
Snarling Badger (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\snarling-badger-(greater).md,Consumables,"traits: vault='consumable, magical, mental, talisman', db='Consumable, Enchantment, Magical, Misfortune, Talisman, Uncommon'"
Snarling Badger (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\snarling-badger-(lesser).md,Consumables,"traits: vault='consumable, magical, mental, talisman', db='Consumable, Evocation, Magical, Talisman'"
Snarling Badger (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\snarling-badger-(moderate).md,Consumables,"traits: vault='consumable, magical, mental, talisman', db='Consumable, Evocation, Magical, Talisman'"
Sneaky Key,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\sneaky-key.md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical, talisman', db='Consumable, Evocation, Magical, Talisman'"
Sneezing Powder,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\sneezing-powder.md,Alchemical_Items,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='alchemical, consumable, inhaled', db='Alchemical, Consumable, Inhaled, Uncommon'"
Sniper's Bead (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\snipers-bead-(greater).md,Consumables,"traits: vault='consumable, magical, talisman', db='Consumable, Magical, Talisman, Transmutation'"
Sniper's Bead (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\snipers-bead-(major).md,Consumables,"traits: vault='consumable, magical, talisman', db='Consumable, Magical, Talisman, Transmutation'"
Sniper's Bead,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\snipers-bead.md,Consumables,"traits: vault='consumable, magical, talisman', db='Consumable, Magical, Talisman, Transmutation'"
Snowshoes of the Long Trek,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\snowshoes-of-the-long-trek.md,Worn_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='magical', db='Magical, Transmutation, Uncommon'"
Snowshoes,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Snowshoes.md,Mundane,
Soap,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Soap.md,Mundane,
Soaring Wings (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\soaring-wings-(greater).md,Tattoos,"traits: vault='invested, magical, tattoo', db='Invested, Magical, Tattoo, Transmutation'"
Soaring Wings (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\soaring-wings-(major).md,Tattoos,"traits: vault='invested, magical, tattoo', db='Invested, Magical, Tattoo, Transmutation'"
Soaring Wings,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\soaring-wings.md,Tattoos,"traits: vault='invested, magical, tattoo', db='Invested, Magical, Tattoo, Transmutation'"
Soaring,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Soaring.md,Runes,
Socialite Staff,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\socialite-staff.md,Staff_Wand,"traits: vault='magical, staff, two-hand-d8', db='Enchantment, Magical, Staff'"
Soft-Landing,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Soft-Landing.md,Runes,
Songbird's Brush,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\songbirds-brush.md,Specific_Magic_Weapons,"level: vault='14', db='15'; source: vault='kingmaker', db='kingmakercompanionguide'; traits: vault='deadly-d8, forceful, holy, magical, reach', db='Evocation, Good, Magical, Rare'"
Sonic Tuning Mace (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\sonic-tuning-mace-(greater).md,Specific_Magic_Weapons,"traits: vault='agile, finesse, magical, shove, sonic', db='Evocation, Magical, Sonic'"
Sonic Tuning Mace,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\sonic-tuning-mace.md,Specific_Magic_Weapons,"traits: vault='agile, finesse, magical, shove, sonic', db='Evocation, Magical, Sonic'"
Soothing Powder (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\soothing-powder-(greater).md,Alchemical_Items,
Soothing Powder (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\soothing-powder-(lesser).md,Alchemical_Items,
Soothing Scents,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\soothing-scents.md,Consumables,
Soothing Toddy,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\soothing-toddy.md,Alchemical_Items,
Soothing Tonic (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\soothing-tonic-(greater).md,Alchemical_Items,
Soothing Tonic (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\soothing-tonic-(lesser).md,Alchemical_Items,
Soothing Tonic (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\soothing-tonic-(major).md,Alchemical_Items,
Soothing Tonic (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\soothing-tonic-(moderate).md,Alchemical_Items,
Soul Cage,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\soul-cage.md,Held_Items,"traits: vault='arcane, void', db='Arcane, Necromancy, Negative, Rare'"
Soul Chain,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\soul-chain.md,Specific_Magic_Weapons,"source: vault='adventurecrownofthekoboldking', db='crownofthekoboldking'; traits: vault='cursed, disarm, finesse, magical, trip', db='Cursed, Evocation, Magical, Rare'"
Soulspeaker,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Soulspeaker.md,Worn_Items,
South Wind's Scorch Song,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\south-winds-scorch-song.md,Specific_Magic_Weapons,"traits: vault='fire, forceful, magical, sweep', db='Evocation, Fire, Magical'"
Sovereign Steel Chunk,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Sovereign Steel Chunk.md,Materials,
Sovereign Steel Ingot,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Sovereign Steel Ingot.md,Materials,
Spacious Pouch (Type I),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spacious-pouch-(type-i).md,Held_Items,
Spacious Pouch (Type II),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spacious-pouch-(type-ii).md,Held_Items,
Spacious Pouch (Type III),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spacious-pouch-(type-iii).md,Held_Items,
Spacious Pouch (Type IV),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spacious-pouch-(type-iv).md,Held_Items,
Spangled Rider's Suit,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spangled-riders-suit.md,Specific_Magic_Armor,"traits: vault='invested, magical', db='Divination, Invested, Magical, Uncommon'"
Sparkblade,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Sparkblade.md,Specific_Magic_Weapons,
Sparking Spellgun (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\sparking-spellgun-(greater).md,Consumables,"traits: vault='attack, consumable, fire, magical, spellgun', db='Attack, Consumable, Evocation, Fire, Magical, Spellgun'"
Sparking Spellgun (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\sparking-spellgun-(lesser).md,Consumables,"traits: vault='attack, consumable, fire, magical, spellgun', db='Attack, Consumable, Evocation, Fire, Magical, Spellgun'"
Sparking Spellgun (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\sparking-spellgun-(moderate).md,Consumables,"traits: vault='attack, consumable, fire, magical, spellgun', db='Attack, Consumable, Evocation, Fire, Magical, Spellgun'"
Sparkler,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Sparkler.md,Alchemical_Items,
Sparkshade Parasol,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\sparkshade-parasol.md,Held_Items,
Spear Frog Poison,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spear-frog-poison.md,Alchemical_Items,"source: vault='bestiary2', db='treasurevault'"
Spear,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Spear.md,Weapon_Basic,
Specialist's Ring,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\specialists-ring.md,Worn_Items,
Spectacles of Inquiry,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spectacles-of-inquiry.md,Worn_Items,"traits: vault='invested, magical', db='Divination, Invested, Magical'"
Spectacles of Piercing Sight,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spectacles-of-piercing-sight.md,Worn_Items,"traits: vault='invested, magical', db='Divination, Invested, Magical, Rare'"
Spectacles of Understanding (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spectacles-of-understanding-(greater).md,Worn_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='invested, magical', db='Divination, Invested, Magical, Uncommon'"
Spectacles of Understanding,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spectacles-of-understanding.md,Worn_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='invested, magical', db='Divination, Invested, Magical, Uncommon'"
Spectral Nightshade,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spectral-nightshade.md,Alchemical_Items,"traits: vault='consumable, divine, ingested, poison', db='Consumable, Divine, Ingested, Poison, Uncommon'"
Spectral Opera Glasses,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spectral-opera-glasses.md,Held_Items,"traits: vault='magical', db='Divination, Magical, Uncommon'"
Spell Bastion,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spell-bastion.md,Runes,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='magical', db='Abjuration, Magical, Uncommon'"
Spell Duelist's Siphon,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spell-duelists-siphon.md,Grimoire,"traits: vault='grimoire, magical', db='Abjuration, Grimoire, Magical'"
Spell-Eating Pitch,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spell-eating-pitch.md,Alchemical_Items,"traits: vault='consumable, divine, injury, poison', db='Consumable, Divine, Injury, Poison, Uncommon'"
Spell Echo Shot,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spell-echo-shot.md,Consumables,"traits: vault='consumable, magical', db='Consumable, Evocation, Magical'"
Spellbook (Blank),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Spellbook (Blank).md,Mundane,
Spellbook of Redundant Enchantment,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellbook-of-redundant-enchantment.md,Grimoire,"traits: vault='grimoire, magical', db='Enchantment, Grimoire, Magical'"
Spellcutter,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Spellcutter.md,Specific_Magic_Weapons,
Spellender,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Spellender.md,Specific_Magic_Weapons,
Spellguard Blade,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellguard-blade.md,Specific_Magic_Weapons,"traits: vault='agile, disarm, finesse, magical, parry, versatile-s', db='Magical'"
Spellguard Shield,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellguard-shield.md,Specific_Magic_Shields,"source: vault='gmcore', db='corerulebook'; traits: vault='magical', db='Abjuration, Magical'"
Spellsap Grenade (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellsap-grenade-(greater).md,Alchemical_Items,"traits: vault='alchemical, bomb, consumable', db='Alchemical, Bomb, Consumable, Rare, Splash'"
Spellstrike Ammunition (Type I),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellstrike-ammunition-(type-i).md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Spellstrike Ammunition (Type II),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellstrike-ammunition-(type-ii).md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Spellstrike Ammunition (Type III),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellstrike-ammunition-(type-iii).md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Spellstrike Ammunition (Type IV),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellstrike-ammunition-(type-iv).md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Spellstrike Ammunition (Type IX),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellstrike-ammunition-(type-ix).md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Spellstrike Ammunition (Type V),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellstrike-ammunition-(type-v).md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Spellstrike Ammunition (Type VI),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellstrike-ammunition-(type-vi).md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Spellstrike Ammunition (Type VII),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellstrike-ammunition-(type-vii).md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Spellstrike Ammunition (Type VIII),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellstrike-ammunition-(type-viii).md,Consumables,"source: vault='gmcore', db='corerulebook'; traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Spellstriker Staff (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellstriker-staff-(greater).md,Staff_Wand,"traits: vault='magical, staff, two-hand-d8', db='Evocation, Magical, Staff'"
Spellstriker Staff (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellstriker-staff-(major).md,Staff_Wand,"traits: vault='magical, staff, two-hand-d8', db='Evocation, Magical, Staff'"
Spellstriker Staff,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spellstriker-staff.md,Staff_Wand,"traits: vault='magical, staff, two-hand-d8', db='Evocation, Magical, Staff'"
Spider Lily Tattoo,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spider-lily-tattoo.md,Tattoos,"traits: vault='invested, magical, tattoo', db='Invested, Magical, Necromancy, Rare, Tattoo'"
Spider Root,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spider-root.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'"
Spider Venom,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spider-venom.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'"
Spiderfoot Brew (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiderfoot-brew-(greater).md,Alchemical_Items,"traits: vault='alchemical, consumable, elixir, polymorph', db='Alchemical, Consumable, Elixir, Morph'"
Spiderfoot Brew (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiderfoot-brew-(lesser).md,Alchemical_Items,"traits: vault='alchemical, consumable, elixir, polymorph', db='Alchemical, Consumable, Elixir, Morph'"
Spiderfoot Brew (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiderfoot-brew-(moderate).md,Alchemical_Items,"traits: vault='alchemical, consumable, elixir, polymorph', db='Alchemical, Consumable, Elixir, Morph'"
Spike Snare,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spike-snare.md,Snares,
Spiked Chain,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiked-chain.md,Weapon_Basic,
Spiked Gauntlet,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiked-gauntlet.md,Weapon_Basic,
Spined Shield,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spined-shield.md,Specific_Magic_Shields,"source: vault='playercore', db='corerulebook'; traits: vault='magical', db='Evocation, Magical'"
Spiny Lodestone (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiny-lodestone-(greater).md,Spellhearts,
Spiny Lodestone (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiny-lodestone-(major).md,Spellhearts,
Spiny Lodestone,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiny-lodestone.md,Spellhearts,
Spiral Athame,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiral-athame.md,Specific_Magic_Weapons,"traits: vault='agile, artifact, finesse, magical, thrown-10, versatile-s', db='Abjuration, Artifact, Magical, Unique'"
Spiral Chimes,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiral-chimes.md,Held_Items,
Spiral Rapier,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiral-rapier.md,Weapon_Basic,"rarity: vault='Uncommon', db='Rare'; source: vault='thegrandbazaar', db='grandbazaar'"
Spirit Fan,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spirit-fan.md,Held_Items,"traits: vault='agile, backstabber, deadly-d6, finesse, magical, monk', db='Magical, Necromancy, Rare'"
Spirit-Sealing Fulu (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spirit-sealing-fulu-(greater).md,Consumables,"traits: vault='consumable, fulu, incapacitation, magical', db='Consumable, Fulu, Incapacitation, Magical, Necromancy'"
Spirit-Sealing Fulu,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spirit-sealing-fulu.md,Consumables,"traits: vault='consumable, fulu, incapacitation, magical', db='Consumable, Fulu, Incapacitation, Magical, Necromancy'"
Spirit-Singer (Handheld),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spirit-singer-(handheld).md,Mundane,"level: vault='6', db='6.0'"
Spirit-Singer (Incredible),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spirit-singer-(incredible).md,Mundane,"level: vault='11', db='11.0'"
Spirit-Singer (Incredible Handheld),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spirit-singer-(incredible-handheld).md,Mundane,"level: vault='12', db='12.0'"
Spirit-Singer,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Spirit-Singer.md,Mundane,
Spirit Snare,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spirit-snare.md,Snares,"traits: vault='consumable, electricity, mechanical, snare, trap', db='Consumable, Electricity, Mechanical, Rare, Snare, Trap'"
Spirit Thresher,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spirit-thresher.md,Weapon_Basic,"traits: vault='gnoll, sweep, versatile-s', db='Kholo, Sweep, Uncommon, Versatile S'"
Spirit Trap,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spirit-trap.md,Snares,"traits: vault='consumable, magical, snare, trap', db='Consumable, Magical, Snare, Trap, Uncommon'"
Spiritsight Crossbow,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiritsight-crossbow.md,Specific_Magic_Weapons,"traits: vault='magical, teleportation', db='Magical, Uncommon'"
Spiritsight Ring,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiritsight-ring.md,Worn_Items,"source: vault='176lostmammothvalley', db='treasurevault'; traits: vault='invested, magical', db='Divination, Invested, Magical, Uncommon'"
Spiritsight Tea,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiritsight-tea.md,Consumables,"traits: vault='consumable, magical, potion, tea', db='Consumable, Divination, Magical, Potion, Tea, Uncommon'"
Spiritual Warhorn (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiritual-warhorn-(greater).md,Consumables,"traits: vault='consumable, force, magical', db='Conjuration, Consumable, Force, Magical'"
Spiritual Warhorn (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiritual-warhorn-(lesser).md,Consumables,"traits: vault='consumable, force, magical', db='Conjuration, Consumable, Force, Magical'"
Spiritual Warhorn (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiritual-warhorn-(major).md,Consumables,"traits: vault='consumable, force, magical', db='Conjuration, Consumable, Force, Magical'"
Spiritual Warhorn (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spiritual-warhorn-(moderate).md,Consumables,"traits: vault='consumable, force, magical', db='Conjuration, Consumable, Force, Magical'"
Splendid Floodlight,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\splendid-floodlight.md,Held_Items,"traits: vault='illusion, magical', db='Illusion, Magical, Uncommon'"
Splint Mail,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\splint-mail.md,Armor_Basic,"level: vault='1', db='1.0'"
Splithead Bow,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\splithead-bow.md,Specific_Magic_Weapons,"traits: vault='deadly-d10, magical, volley-30', db='Magical, Uncommon'"
Spore Sap,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spore-sap.md,Specific_Magic_Weapons,"traits: vault='agile, fungus, magical, nonlethal', db='Evocation, Fungus, Magical'"
Sportlebore Capsule,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\sportlebore-capsule.md,Alchemical_Items,
Spraysling,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\Spraysling.md,Weapon_Basic,
Spring-Loaded Net Launcher,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spring-loaded-net-launcher.md,Consumables,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='clockwork, consumable, gadget', db='Clockwork, Consumable, Gadget, Uncommon'"
Sprite Apple (Chartreuse),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\sprite-apple-(chartreuse).md,Alchemical_Items,
Sprite Apple (Golden),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\sprite-apple-(golden).md,Alchemical_Items,
Sprite Apple (Pink),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\sprite-apple-(pink).md,Alchemical_Items,
Sprite Apple (Teal),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\sprite-apple-(teal).md,Alchemical_Items,
Spry Sinews (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spry-sinews-(greater).md,Grafts,
Spry Sinews (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spry-sinews-(lesser).md,Grafts,
Spun Cloud (Black),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spun-cloud-(black).md,Consumables,
Spun Cloud (Blue),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spun-cloud-(blue).md,Consumables,
Spun Cloud (Green),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spun-cloud-(green).md,Consumables,
Spun Cloud (Red),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spun-cloud-(red).md,Consumables,
Spun Cloud (White),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spun-cloud-(white).md,Consumables,
Spurned Lute,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spurned-lute.md,Held_Items,"traits: vault='cursed, magical, rare', db='Rare, Cursed, Enchantment, Magical'"
Spy Staff (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\S\spy-staff-(greater).md,Staff_Wand,"traits: vault='illusion, magical, staff, two-hand-d8', db='Illusion, Magical, Staff, Uncommon'"
